Objects,Attributes,Condition
30012903,FCA_BIN=Low,resistance_tonn_BIN=Low
30012903,FCA_BIN=Low,crystallizer_movementmm_BIN=High
30012903,FCA_BIN=Low,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Low,water_consumption_BIN=High
30012903,FCA_BIN=Low,water_temperature_deltaCelsius_BIN=High
30012903,FCA_BIN=Low,temperature_measurement1_Celsius_BIN=Low
30012903,FCA_BIN=Low,temperature_measurement2_Celsius_BIN=Low
30012903,FCA_BIN=Critical,steel_temperature_grab1Celsius_BIN=High
30012903,FCA_BIN=Critical,resistance_tonn_BIN=Low
30012903,FCA_BIN=Critical,swing_frequency_amount_minute_BIN=High
30012903,FCA_BIN=Critical,crystallizer_movementmm_BIN=Low
30012903,FCA_BIN=Critical,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Critical,water_consumption_BIN=High
30012903,FCA_BIN=Critical,water_temperature_deltaCelsius_BIN=High
30012903,FCA_BIN=Critical,temperature_measurement1_Celsius_BIN=Low
30012903,FCA_BIN=Critical,temperature_measurement2_Celsius_BIN=Low
30012903,num_stream_BIN=Low,steel_weighttonn_BIN=High
30012903,num_stream_BIN=Low,steel_temperature_grab1Celsius_BIN=High
30012903,num_stream_BIN=Low,resistance_tonn_BIN=Low
30012903,num_stream_BIN=Low,swing_frequency_amount_minute_BIN=High
30012903,num_stream_BIN=Low,crystallizer_movementmm_BIN=Low
30012903,num_stream_BIN=Low,alloy_speed_meter_minute_BIN=Medium
30012903,num_stream_BIN=Low,water_consumption_BIN=High
30012903,num_stream_BIN=Low,water_temperature_deltaCelsius_BIN=High
30012903,num_stream_BIN=Low,temperature_measurement1_Celsius_BIN=Low
30012903,num_stream_BIN=Low,temperature_measurement2_Celsius_BIN=Low
30012903,num_crystallizer_BIN=High,steel_weighttonn_BIN=High
30012903,num_crystallizer_BIN=High,steel_temperature_grab1Celsius_BIN=High
30012903,num_crystallizer_BIN=High,resistance_tonn_BIN=Low
30012903,num_crystallizer_BIN=High,swing_frequency_amount_minute_BIN=High
30012903,num_crystallizer_BIN=High,crystallizer_movementmm_BIN=Low
30012903,num_crystallizer_BIN=High,alloy_speed_meter_minute_BIN=Medium
30012903,num_crystallizer_BIN=High,water_consumption_BIN=High
30012903,num_crystallizer_BIN=High,water_temperature_deltaCelsius_BIN=High
30012903,num_crystallizer_BIN=High,temperature_measurement1_Celsius_BIN=Low
30012903,num_crystallizer_BIN=High,temperature_measurement2_Celsius_BIN=Low
30012904,steel_type=Arm500,steel_weighttonn_BIN=High
30012904,steel_type=Arm500,steel_temperature_grab1Celsius_BIN=High
30012904,steel_type=Arm500,resistance_tonn_BIN=Low
30012904,steel_type=Arm500,swing_frequency_amount_minute_BIN=High
30012904,steel_type=Arm500,crystallizer_movementmm_BIN=Low
30012904,steel_type=Arm500,alloy_speed_meter_minute_BIN=Medium
30012904,steel_type=Arm500,water_consumption_BIN=High
30012904,steel_type=Arm500,water_temperature_deltaCelsius_BIN=High
30012904,steel_type=Arm500,temperature_measurement1_Celsius_BIN=Low
30012904,steel_type=Arm500,temperature_measurement2_Celsius_BIN=Low
30012904,steel_type=25G2S,cast_in_row_BIN=Low
30012904,steel_type=25G2S,steel_weighttonn_BIN=High
30012904,steel_type=25G2S,steel_temperature_grab1Celsius_BIN=High
30012904,steel_type=25G2S,resistance_tonn_BIN=Low
30012904,steel_type=25G2S,swing_frequency_amount_minute_BIN=High
30012904,steel_type=25G2S,crystallizer_movementmm_BIN=High
30012904,steel_type=25G2S,alloy_speed_meter_minute_BIN=Medium
30012904,steel_type=25G2S,water_consumption_BIN=High
30012904,steel_type=25G2S,water_temperature_deltaCelsius_BIN=High
30012904,steel_type=25G2S,temperature_measurement1_Celsius_BIN=Low
30012904,steel_type=25G2S,temperature_measurement2_Celsius_BIN=Low
30012904,steel_type=1015,cast_in_row_BIN=Low
30012904,steel_type=1015,steel_weighttonn_BIN=Medium
30012904,steel_type=1015,steel_temperature_grab1Celsius_BIN=High
30012904,steel_type=1015,resistance_tonn_BIN=Low
30012904,steel_type=1015,swing_frequency_amount_minute_BIN=High
