Rule,Support,Confidence
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {alloy_speed_meter_minute_BIN=Medium},4/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {alloy_speed_meter_minute_BIN=Medium},4/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {alloy_speed_meter_minute_BIN=Medium},4/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {swing_frequency_amount_minute_BIN=High},4/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {alloy_speed_meter_minute_BIN=Medium},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {alloy_speed_meter_minute_BIN=Medium},3/5,1.0
{num_crystallizer_BIN=Low} -> {steel_type=Arm500} | {alloy_speed_meter_minute_BIN=Medium},3/5,1.0
{num_crystallizer_BIN=Low} -> {workpiece_slice_geometry=180x180} | {alloy_speed_meter_minute_BIN=Medium},3/5,1.0
{num_crystallizer_BIN=Low} -> {RUL_BIN=Critical} | {crystallizer_movementmm_BIN=Low},3/5,1.0
{num_crystallizer_BIN=Low} -> {alloy_type=open} | {crystallizer_movementmm_BIN=Low},3/5,1.0
