feature,importance
cat__datetime_combined_7/8/2020 6:03,0.00028776481578331214
cat__datetime_combined_7/20/2020 3:56,0.00028768224383279026
cat__datetime_combined_5/9/2020 1:46,0.00028678441043668594
cat__datetime_combined_7/20/2020 3:14,0.00028655816074139016
cat__datetime_combined_5/25/2020 11:17,0.0002864888704764506
cat__datetime_combined_5/9/2020 10:29,0.0002854320809922348
cat__datetime_combined_5/19/2020 23:49,0.0002822378462872565
cat__datetime_combined_2/8/2020 0:44,0.0002816874059693924
cat__datetime_combined_7/23/2020 17:19,0.00028126763365140373
cat__datetime_combined_5/25/2020 8:10,0.00027988948917349594
cat__datetime_combined_5/9/2020 7:08,0.0002785651405787009
cat__datetime_combined_7/13/2020 6:17,0.0002784195716583391
cat__datetime_combined_7/8/2020 10:14,0.0002779165578041671
cat__datetime_combined_5/25/2020 9:43,0.0002772481666775462
cat__datetime_combined_7/17/2020 2:47,0.00027472813556380835
cat__datetime_combined_5/25/2020 6:54,0.0002745716494543225
cat__datetime_combined_7/13/2020 5:40,0.000274515139516188
cat__datetime_combined_7/15/2020 5:00,0.0002743858168876067
cat__datetime_combined_7/23/2020 0:58,0.00027378011782925503
cat__datetime_combined_1/8/2020 12:59,0.00027374570918786527
cat__datetime_combined_6/8/2020 22:05,0.00027362306467433367
cat__datetime_combined_1/8/2020 3:06,0.00027302185294264064
cat__datetime_combined_5/9/2020 0:18,0.00027200083175743723
cat__datetime_combined_7/14/2020 2:45,0.0002718419542472951
cat__datetime_combined_7/23/2020 18:48,0.0002688451804943275
cat__datetime_combined_1/8/2020 17:08,0.000268816592823709
cat__datetime_combined_5/9/2020 11:05,0.0002687976058294609
cat__datetime_combined_5/9/2020 5:10,0.0002683704374969628
cat__datetime_combined_1/8/2020 21:25,0.0002682179648102224
cat__datetime_combined_2/8/2020 2:06,0.0002680966141572407
cat__datetime_combined_1/9/2020 2:53,0.0002673935994288037
cat__datetime_combined_7/23/2020 6:14,0.00026721440160338796
cat__datetime_combined_5/25/2020 4:38,0.0002669475675681556
cat__datetime_combined_7/18/2020 3:45,0.00026644836970607464
cat__datetime_combined_7/23/2020 17:58,0.0002661268158991084
cat__datetime_combined_7/9/2020 7:36,0.0002656681568893246
cat__datetime_combined_1/9/2020 21:07,0.0002640688363833415
cat__datetime_combined_2/9/2020 1:20,0.00026356802552582727
cat__datetime_combined_1/9/2020 1:24,0.0002633226997116465
cat__datetime_combined_7/18/2020 5:07,0.00026174627885035414
cat__datetime_combined_7/21/2020 19:48,0.0002614973493384785
cat__datetime_combined_5/31/2020 18:42,0.0002610980235601828
cat__datetime_combined_5/25/2020 8:57,0.00026067098123279094
cat__datetime_combined_1/7/2020 21:54,0.0002606107179441607
cat__datetime_combined_1/8/2020 15:42,0.0002599595590339985
cat__datetime_combined_7/14/2020 14:28,0.0002591885926149566
cat__datetime_combined_5/9/2020 6:28,0.0002588534061307109
cat__datetime_combined_7/16/2020 19:31,0.0002586659926105995
cat__datetime_combined_7/13/2020 4:27,0.0002584339656080438
cat__datetime_combined_1/7/2020 11:25,0.0002583956279131993
cat__datetime_combined_7/23/2020 8:53,0.0002569495008884036
cat__datetime_combined_7/13/2020 9:38,0.0002566163881871802
cat__datetime_combined_5/9/2020 13:05,0.0002562766803528008
cat__datetime_combined_7/24/2020 16:54,0.0002556136528992268
cat__datetime_combined_7/14/2020 16:04,0.0002553777394467879
