,0
"resistance, tonn",0.5723353693634176
num_stream,0.11275227525073635
"swing_frequency, amount/minute",0.10786113302891061
num_crystallizer,0.10691090966361945
"crystallizer_movement, mm",0.04083805557457369
"water_consumption, liter/minute",0.030217538108064636
"water_temperature_delta, Celsius deg.",0.02908471901067788
