antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,contains_RUL_target
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Medium'})",0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, water_consumption, liter/minute_BIN_High",False
"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})",frozenset({'num_stream_BIN_Medium'}),0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,"num_crystallizer_BIN_Medium, temperature_measurement1, Celsius deg._BIN_Low",num_stream_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})",0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, temperature_measurement1, Celsius deg._BIN_Low",False
"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})",frozenset({'num_stream_BIN_Medium'}),0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,"num_crystallizer_BIN_Medium, temperature_measurement2, Celsius deg._BIN_Low",num_stream_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})",0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, temperature_measurement2, Celsius deg._BIN_Low",False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})",0.3346,0.4618,0.1986,0.5935445307830245,1.2852848219641069,1.0,0.04408171999999999,1.324130294117647,0.3335773014043903,0.3322181331549013,0.24478731100524806,0.5118004161061074,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, steel_temperature_grab1, Celsius deg._BIN_High",False
"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})",frozenset({'num_stream_BIN_Medium'}),0.4618,0.3346,0.1986,0.43005630142919016,1.2852848219641069,1.0,0.04408171999999999,1.1674837386018238,0.4124160838990734,0.3322181331549013,0.14345702048270237,0.5118004161061074,"num_crystallizer_BIN_Medium, steel_temperature_grab1, Celsius deg._BIN_High",num_stream_BIN_Medium,False
"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3344,0.4622,0.1986,0.5938995215311005,1.2849405485311565,1.0,0.04404032000000002,1.3243027982326954,0.33316387791463337,0.33210702341137127,0.24488568525678778,0.5117918204799596,"num_stream_BIN_Medium, steel_temperature_grab1, Celsius deg._BIN_High",num_crystallizer_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})",0.4622,0.3344,0.1986,0.4296841194288187,1.2849405485311565,1.0,0.04404032000000002,1.1670725341426402,0.4123352122349943,0.33210702341137127,0.14315522750723964,0.5117918204799596,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, steel_temperature_grab1, Celsius deg._BIN_High",False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})",0.3346,0.4508,0.1932,0.5774058577405858,1.280847066860217,1.0,0.04236232000000001,1.299592079207921,0.3295260995892196,0.3262411347517731,0.23052778175634714,0.5029886431560072,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, water_temperature_delta, Celsius deg._BIN_High",False
"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})",frozenset({'num_stream_BIN_Medium'}),0.4508,0.3346,0.1932,0.4285714285714286,1.280847066860217,1.0,0.04236232000000001,1.16445,0.3992473901432387,0.3262411347517731,0.1412254712525227,0.5029886431560072,"num_crystallizer_BIN_Medium, water_temperature_delta, Celsius deg._BIN_High",num_stream_BIN_Medium,False
"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3266,0.4622,0.1932,0.5915492957746479,1.2798556810355861,1.0,0.04224548,1.3166827586206897,0.32471325328468187,0.32437877770315654,0.24051561133255459,0.5047750806004352,"num_stream_BIN_Medium, water_temperature_delta, Celsius deg._BIN_High",num_crystallizer_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})",0.4622,0.3266,0.1932,0.41800086542622245,1.2798556810355861,1.0,0.04224548,1.1570463940520446,0.406585914395509,0.32437877770315654,0.1357304208883612,0.5047750806004352,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, water_temperature_delta, Celsius deg._BIN_High",False
"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})","frozenset({'swing_frequency, amount/minute_BIN_High'})",0.2554,0.7348,0.239,0.9357870007830853,1.2735261306247758,1.0,0.051332079999999974,4.130004878048776,0.28844826404224777,0.31815761448349306,0.7578695353811663,0.6305227872723265,"alloy_speed, meter/minute_BIN_Medium, crystallizer_movement, mm_BIN_High","swing_frequency, amount/minute_BIN_High",False
"frozenset({'swing_frequency, amount/minute_BIN_High'})","frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})",0.7348,0.2554,0.239,0.32525857376156775,1.2735261306247758,1.0,0.051332079999999974,1.103533844292053,0.8098739721186187,0.31815761448349306,0.0938202709663816,0.6305227872723265,"swing_frequency, amount/minute_BIN_High","alloy_speed, meter/minute_BIN_Medium, crystallizer_movement, mm_BIN_High",False
"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})",frozenset({'num_stream_BIN_Medium'}),0.4318,0.3346,0.181,0.4191755442334414,1.2527661214388566,1.0,0.03651971999999998,1.145612918660287,0.35509751643748483,0.30919029723266145,0.12710481549961133,0.4800599777353698,"alloy_speed, meter/minute_BIN_Medium, num_crystallizer_BIN_Medium",num_stream_BIN_Medium,False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})",0.3346,0.4318,0.181,0.5409444112372982,1.2527661214388564,1.0,0.03651971999999998,1.23775859375,0.3032257421697909,0.30919029723266145,0.19208801696110203,0.4800599777353698,num_stream_BIN_Medium,"alloy_speed, meter/minute_BIN_Medium, num_crystallizer_BIN_Medium",False
"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})","frozenset({'crystallizer_movement, mm_BIN_Low'})",0.4912,0.6334,0.3748,0.7630293159609121,1.2046563245356996,1.0,0.06367392000000005,1.5470268041237116,0.3338988340951655,0.4998666311016271,0.35359878876408096,0.6773782512864239,"alloy_speed, meter/minute_BIN_Medium, cast_in_row_BIN_Low","crystallizer_movement, mm_BIN_Low",False
"frozenset({'crystallizer_movement, mm_BIN_Low'})","frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})",0.6334,0.4912,0.3748,0.5917271866119357,1.2046563245356996,1.0,0.06367392000000005,1.2462255220417635,0.46341442113371567,0.4998666311016271,0.19757701771213773,0.6773782512864239,"crystallizer_movement, mm_BIN_Low","alloy_speed, meter/minute_BIN_Medium, cast_in_row_BIN_Low",False
