kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
0,0,41429,Medium
0,0,41415,Medium
0,0,41412,Medium
2,0,41398,Medium
0,0,41386,Medium
0,0,41378,Healthy
1,1,41364,Healthy
0,0,41364,Healthy
0,0,41361,Low
0,0,41360,Healthy
2,5,41355,Healthy
2,0,41343,Healthy
0,0,41332,Medium
0,0,41332,Medium
0,0,41332,Medium
0,0,41329,Medium
1,1,41329,Low
2,0,41328,Healthy
0,0,41325,Medium
2,0,41318,Medium
0,0,41312,Healthy
2,0,41306,Healthy
2,0,41305,Healthy
2,0,41291,Healthy
2,5,41273,Medium
2,0,41268,Medium
0,0,41259,Medium
0,0,41258,Medium
2,0,41254,Medium
2,0,41223,Medium
0,0,41220,Medium
2,0,41218,Healthy
2,0,41203,Healthy
1,1,41200,Healthy
2,0,41195,Healthy
0,0,41192,Healthy
0,0,41192,Low
0,0,41186,Healthy
2,0,41174,Medium
2,0,41174,Medium
2,0,41174,Medium
2,0,41168,Low
2,0,41165,Healthy
0,0,41161,Medium
2,0,41160,Medium
0,0,41156,Medium
2,0,41152,Healthy
0,0,41140,Healthy
0,0,41133,Healthy
0,0,41124,Healthy
2,5,41108,Medium
2,0,41101,Medium
0,0,41101,Medium
0,0,41096,Medium
0,0,41094,Medium
2,0,41059,Medium
0,0,41054,Healthy
0,0,41051,Medium
0,0,41039,Healthy
2,0,41037,Healthy
1,1,41028,Healthy
2,5,41026,Healthy
0,0,41023,Low
2,0,41019,Healthy
0,0,41010,Low
0,0,41008,Medium
0,0,41008,Medium
0,0,41008,Medium
2,0,40999,Healthy
2,0,40995,Medium
0,0,40991,Medium
0,0,40990,Medium
0,0,40982,Healthy
2,0,40969,Healthy
2,0,40967,Healthy
0,0,40967,Healthy
2,5,40948,Medium
0,0,40941,Medium
0,0,40941,Medium
2,0,40934,Medium
0,0,40930,Medium
0,0,40890,Healthy
0,0,40887,Medium
2,0,40887,Medium
2,0,40885,Healthy
0,0,40880,Healthy
1,1,40864,Healthy
2,0,40859,Healthy
2,5,40857,Healthy
0,0,40856,Low
0,0,40848,Medium
0,0,40848,Medium
0,0,40848,Medium
0,0,40841,Low
2,0,40838,Medium
2,0,40829,Healthy
0,0,40824,Medium
0,0,40824,Medium
0,0,40811,Healthy
0,0,40803,Healthy
2,0,40801,Healthy
0,0,40795,Healthy
2,5,40791,Medium
0,0,40780,Medium
2,0,40778,Medium
0,0,40772,Medium
2,0,40764,Medium
2,0,40728,Healthy
0,0,40724,Healthy
0,0,40721,Medium
2,0,40715,Medium
0,0,40714,Healthy
1,1,40696,Healthy
0,0,40690,Low
0,0,40690,Healthy
2,0,40687,Healthy
0,0,40682,Medium
0,0,40682,Medium
0,0,40682,Medium
2,0,40675,Low
2,0,40669,Healthy
2,0,40668,Medium
0,0,40661,Medium
0,0,40657,Medium
2,0,40644,Healthy
0,0,40634,Healthy
0,0,40632,Healthy
0,0,40627,Medium
2,0,40625,Medium
2,0,40625,Healthy
0,0,40611,Medium
2,0,40599,Medium
0,0,40597,Medium
2,0,40571,Healthy
2,0,40558,Healthy
0,0,40558,Medium
2,0,40555,Medium
0,0,40550,Healthy
1,1,40533,Healthy
0,0,40526,Healthy
2,0,40520,Healthy
0,0,40519,Low
0,0,40518,Medium
0,0,40518,Medium
0,0,40518,Medium
2,0,40508,Medium
2,0,40503,Healthy
0,0,40502,Low
0,0,40492,Medium
0,0,40488,Medium
0,0,40481,Healthy
2,0,40470,Healthy
0,0,40464,Medium
2,0,40462,Medium
2,0,40459,Healthy
0,0,40459,Healthy
0,0,40444,Medium
0,0,40434,Medium
2,0,40430,Medium
0,0,40426,Healthy
0,0,40408,Healthy
0,0,40401,Healthy
0,0,40391,Medium
0,0,40389,Medium
0,0,40385,Healthy
1,1,40369,Healthy
0,0,40355,Medium
0,0,40355,Medium
0,0,40355,Medium
2,0,40354,Healthy
0,0,40351,Healthy
0,0,40347,Low
2,0,40345,Medium
2,0,40339,Low
2,0,40336,Healthy
2,0,40326,Medium
0,0,40322,Medium
0,0,40315,Healthy
2,0,40307,Healthy
0,0,40304,Medium
0,0,40296,Healthy
2,0,40292,Medium
0,0,40290,Healthy
0,0,40284,Medium
0,0,40265,Medium
2,0,40264,Medium
0,0,40263,Healthy
2,0,40242,Healthy
2,0,40241,Healthy
0,0,40226,Medium
2,0,40225,Healthy
0,0,40222,Medium
1,1,40207,Healthy
2,0,40195,Low
0,0,40189,Medium
0,0,40189,Medium
0,0,40189,Medium
2,0,40188,Healthy
2,0,40186,Medium
0,0,40185,Healthy
0,0,40173,Low
2,0,40170,Healthy
2,0,40163,Medium
0,0,40159,Medium
0,0,40155,Healthy
0,0,40141,Medium
0,0,40139,Healthy
0,0,40138,Healthy
2,0,40135,Medium
0,0,40124,Medium
2,0,40121,Healthy
2,0,40098,Medium
0,0,40096,Medium
0,0,40093,Healthy
0,0,40087,Healthy
2,0,40076,Healthy
2,0,40061,Healthy
0,0,40056,Medium
0,0,40056,Medium
1,1,40043,Healthy
2,0,40043,Low
0,0,40032,Medium
0,0,40032,Medium
0,0,40032,Medium
2,0,40026,Medium
0,0,40021,Healthy
0,0,40021,Healthy
2,0,40004,Healthy
0,0,40003,Low
2,0,39996,Medium
0,0,39992,Healthy
0,0,39986,Medium
2,0,39981,Medium
0,0,39981,Medium
0,0,39977,Healthy
0,0,39973,Healthy
0,0,39961,Medium
0,0,39951,Healthy
2,0,39931,Medium
0,0,39929,Medium
0,0,39927,Healthy
0,0,39924,Healthy
2,0,39916,Healthy
2,0,39907,Healthy
2,0,39907,Healthy
2,0,39907,Healthy
2,0,39907,Healthy
2,0,39898,Healthy
2,0,39889,Medium
0,0,39887,Medium
1,1,39875,Healthy
0,0,39871,Low
0,0,39866,Low
0,0,39866,Medium
0,0,39866,Medium
2,0,39863,Medium
2,0,39858,Healthy
0,0,39852,Healthy
2,0,39843,Healthy
2,0,39840,Low
0,0,39830,Medium
2,0,39828,Healthy
2,0,39820,Medium
0,0,39820,Medium
2,0,39820,Medium
0,0,39811,Healthy
0,0,39807,Healthy
0,0,39804,Medium
0,0,39788,Healthy
0,0,39769,Medium
0,0,39762,Medium
0,0,39757,Healthy
2,0,39756,Healthy
0,0,39755,Healthy
2,0,39747,Healthy
2,0,39747,Healthy
2,0,39747,Healthy
2,0,39747,Healthy
2,0,39738,Healthy
2,0,39729,Medium
0,0,39721,Medium
1,1,39716,Healthy
0,0,39706,Low
0,0,39706,Medium
0,0,39706,Medium
2,0,39703,Medium
0,0,39699,Low
2,0,39695,Healthy
0,0,39692,Healthy
2,0,39677,Healthy
2,0,39677,Low
0,0,39668,Healthy
0,0,39667,Medium
0,0,39664,Medium
2,0,39657,Medium
2,0,39654,Medium
0,0,39651,Healthy
0,0,39650,Medium
0,0,39638,Healthy
0,0,39622,Medium
0,0,39606,Medium
0,0,39605,Medium
2,0,39600,Healthy
2,0,39592,Healthy
0,0,39582,Healthy
2,0,39580,Healthy
2,0,39580,Healthy
2,0,39580,Healthy
2,0,39580,Healthy
2,0,39578,Healthy
2,0,39566,Medium
0,0,39561,Medium
1,1,39543,Healthy
0,0,39539,Medium
0,0,39539,Medium
0,0,39539,Low
2,0,39537,Medium
0,0,39535,Low
2,0,39532,Healthy
2,0,39516,Healthy
2,0,39508,Healthy
2,0,39508,Healthy
0,0,39507,Low
0,0,39497,Medium
0,0,39494,Medium
0,0,39491,Healthy
2,0,39491,Medium
2,0,39487,Medium
0,-1,39484,Medium
0,0,39468,Healthy
2,0,39450,Medium
0,0,39438,Medium
0,0,39437,Healthy
0,0,39436,Medium
0,0,39435,Healthy
2,0,39418,Healthy
2,0,39417,Healthy
2,0,39417,Healthy
2,0,39417,Healthy
2,0,39417,Healthy
0,0,39413,Healthy
2,0,39400,Medium
0,0,39397,Medium
2,0,39377,Medium
0,0,39376,Medium
0,0,39376,Low
0,0,39376,Medium
1,1,39375,Healthy
2,0,39372,Low
2,0,39368,Medium
0,0,39353,Healthy
2,0,39348,Healthy
0,0,39347,Low
2,0,39344,Healthy
0,0,39340,Medium
0,0,39333,Healthy
0,0,39331,Medium
2,0,39328,Medium
2,0,39321,Medium
0,0,39318,Medium
2,0,39305,Healthy
2,0,39283,Medium
2,0,39283,Healthy
2,0,39280,Medium
2,0,39272,Healthy
0,0,39269,Medium
2,0,39255,Healthy
2,0,39254,Healthy
2,0,39254,Healthy
2,0,39254,Healthy
2,0,39254,Healthy
0,0,39241,Healthy
0,0,39240,Medium
0,0,39229,Medium
0,0,39213,Medium
0,0,39213,Medium
0,0,39213,Low
1,1,39212,Healthy
2,0,39210,Medium
0,0,39202,Medium
0,0,39200,Low
0,0,39190,Healthy
0,0,39188,Healthy
2,0,39184,Healthy
0,0,39181,Low
0,0,39174,Medium
0,0,39171,Medium
2,0,39164,Medium
0,0,39161,Healthy
0,0,39161,Medium
0,0,39160,Medium
2,0,39148,Healthy
2,0,39126,Healthy
2,0,39114,Medium
2,0,39111,Medium
2,0,39103,Healthy
0,0,39100,Medium
0,0,39095,Healthy
2,0,39090,Healthy
2,0,39090,Healthy
2,0,39090,Healthy
2,0,39090,Healthy
0,0,39075,Healthy
2,0,39075,Medium
0,0,39070,Medium
2,0,39053,Medium
0,0,39053,Low
0,0,39053,Medium
0,0,39053,Medium
1,1,39046,Healthy
0,0,39034,Low
0,0,39032,Medium
0,0,39025,Healthy
0,0,39020,Low
2,0,39015,Healthy
0,0,39011,Medium
0,0,39011,Medium
0,0,39011,Medium
2,0,39001,Medium
0,0,39000,Medium
0,0,38995,Healthy
2,0,38995,Medium
0,0,38982,Healthy
2,0,38969,Healthy
2,0,38945,Medium
0,0,38940,Healthy
2,0,38938,Medium
2,0,38932,Healthy
0,0,38931,Medium
2,0,38927,Healthy
2,0,38927,Healthy
2,0,38927,Healthy
2,0,38927,Healthy
0,0,38905,Healthy
2,0,38905,Medium
2,0,38898,Medium
2,0,38896,Low
0,0,38890,Low
0,0,38890,Medium
0,0,38890,Low
1,1,38880,Healthy
0,0,38870,Low
2,0,38868,Medium
0,0,38860,Low
0,0,38859,Healthy
2,0,38851,Healthy
0,0,38848,Medium
0,0,38842,Medium
2,0,38841,Medium
0,0,38839,Medium
2,-1,38836,Medium
2,0,38831,Healthy
0,0,38822,Medium
2,0,38820,Healthy
0,0,38806,Healthy
2,0,38777,Healthy
2,0,38776,Medium
0,0,38768,Medium
0,0,38768,Healthy
2,0,38767,Healthy
2,0,38767,Healthy
2,0,38767,Healthy
2,0,38767,Healthy
2,0,38766,Medium
0,0,38739,Healthy
2,0,38736,Medium
0,0,38736,Low
0,0,38730,Low
0,0,38730,Low
0,0,38730,Low
2,0,38729,Medium
1,1,38716,Healthy
2,0,38705,Medium
0,0,38703,Low
0,0,38701,Low
0,0,38691,Medium
2,0,38688,Healthy
0,0,38686,Healthy
0,6,38679,Medium
0,0,38676,Medium
2,0,38674,Medium
0,0,38669,Medium
0,0,38665,Healthy
2,0,38664,Healthy
2,0,38656,Medium
2,0,38640,Healthy
2,0,38611,Healthy
2,0,38610,Healthy
2,0,38606,Low
2,0,38600,Healthy
2,0,38600,Healthy
2,0,38600,Healthy
2,0,38600,Healthy
0,0,38597,Medium
0,0,38595,Medium
0,0,38576,Healthy
2,0,38570,Low
2,0,38567,Medium
0,0,38566,Low
0,0,38566,Low
0,0,38566,Low
2,0,38562,Medium
2,0,38548,Medium
1,1,38546,Healthy
0,0,38538,Low
0,0,38537,Medium
0,0,38531,Low
0,0,38529,Healthy
2,0,38522,Healthy
0,0,38516,Medium
2,0,38511,Medium
0,0,38509,Medium
2,0,38504,Healthy
0,0,38503,Medium
0,0,38496,Healthy
2,0,38493,Medium
2,0,38473,Healthy
0,0,38453,Healthy
0,0,38439,Healthy
2,0,38437,Low
2,0,38437,Healthy
2,0,38437,Healthy
2,0,38437,Healthy
2,0,38437,Healthy
2,0,38434,Medium
0,0,38432,Medium
0,0,38410,Healthy
2,0,38410,Low
0,0,38403,Low
0,0,38403,Low
0,0,38403,Low
2,0,38398,Medium
2,0,38396,Medium
2,0,38384,Medium
1,1,38382,Healthy
2,0,38373,Medium
2,0,38366,Low
0,0,38364,Low
2,0,38360,Healthy
2,0,38356,Healthy
2,0,38354,Medium
0,0,38350,Medium
2,0,38341,Healthy
0,0,38340,Medium
0,0,38331,Medium
2,0,38329,Healthy
2,0,38320,Medium
2,0,38313,Healthy
2,-1,38313,Healthy
2,0,38290,Healthy
2,0,38280,Healthy
2,0,38280,Healthy
2,0,38280,Healthy
2,0,38280,Healthy
0,0,38269,Medium
2,0,38265,Low
2,0,38261,Medium
0,0,38249,Low
0,0,38249,Low
0,0,38249,Low
0,0,38240,Healthy
2,0,38237,Low
2,0,38230,Medium
2,0,38228,Medium
1,1,38223,Medium
1,1,38218,Healthy
2,0,38207,Medium
2,0,38201,Low
0,0,38199,Low
2,0,38191,Medium
0,0,38190,Healthy
0,0,38183,Healthy
0,6,38183,Medium
2,0,38180,Medium
0,0,38178,Healthy
0,0,38174,Medium
2,0,38173,Healthy
0,0,38166,Healthy
2,0,38157,Medium
2,0,38153,Healthy
0,0,38121,Healthy
2,0,38117,Healthy
2,0,38117,Healthy
2,0,38117,Healthy
2,0,38117,Healthy
0,0,38099,Medium
2,0,38095,Medium
2,0,38092,Low
0,0,38083,Low
0,0,38083,Low
0,0,38083,Low
0,0,38074,Healthy
2,0,38068,Low
0,0,38061,Medium
2,0,38059,Medium
2,0,38056,Medium
1,1,38050,Healthy
0,0,38047,Medium
0,0,38036,Low
0,0,38035,Low
2,0,38030,Medium
0,0,38024,Healthy
2,0,38024,Medium
0,0,38021,Healthy
2,0,38020,Healthy
0,0,38010,Medium
2,0,38008,Medium
0,0,38007,Medium
2,0,38000,Healthy
2,0,37991,Medium
2,0,37990,Healthy
2,0,37961,Healthy
2,0,37956,Healthy
2,0,37956,Healthy
2,0,37956,Healthy
2,0,37956,Healthy
0,0,37936,Medium
0,0,37926,Low
2,0,37918,Medium
0,0,37917,Low
0,0,37917,Low
0,0,37917,Low
2,0,37914,Low
0,0,37908,Healthy
2,0,37904,Medium
2,0,37899,Medium
0,0,37887,Medium
2,0,37884,Medium
1,1,37882,Healthy
2,0,37870,Low
2,0,37867,Medium
2,0,37867,Medium
0,0,37865,Low
2,0,37863,Healthy
0,0,37858,Healthy
2,5,37853,Healthy
0,0,37847,Medium
0,0,37845,Medium
0,0,37844,Medium
0,0,37833,Healthy
2,0,37833,Healthy
2,0,37826,Medium
2,0,37801,Healthy
2,0,37793,Healthy
2,0,37793,Healthy
2,0,37793,Healthy
2,0,37793,Healthy
0,0,37767,Medium
2,0,37760,Low
0,0,37760,Low
2,0,37754,Medium
0,0,37754,Low
0,0,37754,Low
0,0,37754,Low
2,0,37736,Medium
0,0,37735,Healthy
0,0,37734,Medium
2,-1,37723,Medium
0,0,37721,Healthy
0,0,37717,Medium
1,1,37714,Healthy
2,0,37704,Medium
0,0,37704,Low
0,0,37704,Medium
2,0,37699,Low
2,0,37695,Healthy
0,0,37692,Healthy
2,0,37685,Medium
2,0,37683,Healthy
2,0,37681,Medium
0,0,37679,Healthy
0,0,37675,Medium
2,0,37670,Healthy
0,0,37656,Medium
0,0,37647,Healthy
2,0,37630,Healthy
2,0,37630,Healthy
2,0,37630,Healthy
2,0,37630,Healthy
2,0,37603,Low
0,0,37601,Medium
0,0,37600,Low
0,0,37591,Medium
0,0,37590,Low
0,0,37590,Low
0,0,37590,Low
2,0,37582,Medium
2,0,37572,Healthy
0,0,37568,Medium
0,6,37566,Medium
2,0,37552,Healthy
0,0,37551,Medium
2,0,37550,Healthy
2,0,37544,Low
2,0,37540,Medium
0,0,37538,Medium
0,0,37536,Low
2,0,37533,Healthy
2,0,37520,Healthy
0,0,37519,Healthy
2,0,37519,Medium
2,0,37516,Healthy
0,0,37509,Medium
0,0,37508,Medium
2,0,37501,Healthy
2,0,37486,Medium
0,0,37477,Healthy
2,0,37466,Healthy
2,0,37466,Healthy
2,0,37466,Healthy
2,0,37466,Healthy
2,0,37446,Low
0,0,37434,Medium
2,0,37432,Low
2,0,37432,Low
2,0,37432,Low
0,0,37427,Low
0,0,37425,Medium
0,0,37415,Healthy
2,0,37415,Medium
0,0,37403,Medium
0,0,37399,Medium
0,0,37391,Medium
2,0,37388,Healthy
2,0,37381,Medium
0,0,37380,Low
2,0,37379,Healthy
2,0,37377,Healthy
2,5,37374,Medium
2,0,37369,Low
2,0,37357,Healthy
0,0,37356,Medium
2,0,37353,Healthy
2,0,37353,Healthy
0,0,37345,Medium
0,0,37342,Medium
0,0,37337,Healthy
2,0,37325,Medium
2,0,37311,Healthy
2,5,37300,Healthy
2,5,37300,Healthy
2,5,37300,Healthy
2,5,37300,Healthy
2,0,37280,Low
0,0,37268,Medium
0,0,37266,Low
0,0,37266,Low
0,0,37266,Low
0,0,37264,Low
0,0,37262,Medium
2,0,37249,Medium
0,0,37236,Medium
0,0,37229,Medium
0,-1,37226,Healthy
2,0,37225,Healthy
0,0,37219,Medium
2,0,37217,Healthy
2,0,37211,Medium
0,0,37208,Low
0,0,37207,Healthy
2,0,37203,Low
2,0,37196,Medium
0,0,37189,Medium
2,0,37187,Healthy
0,0,37186,Healthy
2,0,37185,Healthy
0,0,37183,Medium
0,0,37179,Medium
2,0,37174,Healthy
0,0,37162,Medium
2,0,37148,Healthy
2,0,37122,Healthy
2,0,37122,Healthy
2,0,37122,Healthy
2,0,37122,Healthy
0,0,37117,Low
0,0,37103,Low
0,0,37103,Low
0,0,37103,Low
0,0,37102,Low
0,0,37099,Medium
2,0,37092,Medium
0,0,37092,Medium
0,6,37069,Medium
0,0,37068,Healthy
0,0,37066,Medium
0,0,37063,Healthy
2,0,37058,Medium
0,0,37055,Medium
2,0,37051,Healthy
0,0,37049,Low
0,0,37045,Low
0,0,37037,Medium
1,1,37032,Medium
2,0,37029,Medium
2,0,37027,Medium
2,0,37026,Healthy
2,0,37023,Medium
0,0,37018,Healthy
0,0,37010,Medium
2,0,37008,Healthy
0,0,36996,Medium
2,0,36987,Healthy
0,0,36960,Low
1,1,36958,Healthy
1,1,36958,Healthy
1,1,36958,Healthy
1,1,36958,Healthy
0,0,36943,Low
0,0,36943,Low
0,0,36943,Low
0,0,36935,Low
0,0,36933,Medium
0,0,36928,Medium
0,0,36923,Medium
2,0,36911,Medium
0,0,36908,Healthy
2,0,36900,Healthy
2,0,36897,Medium
0,0,36894,Medium
0,0,36893,Medium
2,0,36887,Healthy
2,0,36886,Low
0,0,36878,Low
0,0,36871,Medium
2,0,36869,Medium
1,1,36866,Medium
2,0,36866,Medium
0,0,36863,Healthy
2,0,36860,Medium
0,0,36851,Healthy
0,0,36847,Medium
2,0,36839,Healthy
0,0,36827,Medium
2,0,36821,Healthy
0,0,36799,Low
1,1,36792,Healthy
1,1,36792,Healthy
1,1,36792,Healthy
1,1,36792,Healthy
0,0,36789,Low
0,0,36789,Low
0,0,36789,Low
0,0,36775,Low
0,0,36769,Medium
0,0,36757,Medium
0,0,36756,Medium
2,0,36754,Medium
0,0,36745,Healthy
0,0,36740,Medium
0,0,36733,Healthy
0,0,36731,Medium
0,0,36724,Medium
2,0,36724,Healthy
2,0,36722,Low
0,0,36714,Medium
0,0,36712,Low
2,0,36703,Medium
2,0,36703,Medium
1,1,36702,Medium
0,0,36700,Healthy
2,0,36698,Medium
2,0,36688,Healthy
2,0,36674,Medium
2,0,36667,Healthy
2,0,36660,Medium
2,0,36655,Healthy
2,0,36636,Low
1,1,36628,Healthy
1,1,36628,Healthy
1,1,36628,Healthy
1,1,36628,Healthy
0,0,36626,Low
0,0,36626,Low
0,0,36626,Low
2,0,36612,Low
0,0,36597,Medium
2,0,36594,Medium
0,0,36591,Medium
2,0,36586,Medium
0,0,36574,Medium
2,0,36573,Healthy
0,0,36567,Medium
2,0,36567,Healthy
2,0,36561,Healthy
0,0,36557,Medium
0,0,36557,Medium
0,0,36556,Low
0,0,36552,Low
2,0,36546,Medium
2,0,36540,Healthy
2,0,36539,Medium
1,1,36536,Medium
0,0,36535,Medium
0,0,36518,Healthy
0,0,36508,Medium
0,0,36500,Healthy
2,0,36500,Medium
2,0,36491,Healthy
2,0,36473,Low
0,0,36469,Low
0,0,36469,Low
0,0,36469,Low
1,1,36462,Healthy
1,1,36462,Healthy
1,1,36462,Healthy
1,1,36462,Healthy
0,0,36446,Low
0,0,36431,Medium
0,0,36430,Medium
2,0,36426,Medium
0,0,36424,Medium
2,0,36412,Healthy
0,0,36405,Medium
0,0,36398,Medium
2,0,36398,Healthy
0,0,36397,Medium
0,0,36396,Low
2,0,36394,Healthy
2,0,36391,Medium
0,0,36389,Low
0,0,36380,Medium
2,0,36373,Healthy
1,1,36373,Medium
2,0,36373,Medium
2,0,36372,Medium
2,0,36358,Healthy
0,0,36345,Medium
2,0,36337,Healthy
2,0,36328,Healthy
2,0,36328,Medium
0,0,36308,Low
0,0,36308,Low
0,0,36308,Low
0,0,36307,Low
1,1,36299,Healthy
1,1,36299,Healthy
1,1,36299,Healthy
1,1,36299,Healthy
2,0,36282,Low
0,0,36268,Medium
2,0,36267,Medium
2,0,36264,Medium
2,0,36259,Healthy
2,0,36257,Medium
0,0,36239,Medium
0,0,36235,Medium
2,0,36235,Healthy
2,0,36234,Medium
0,0,36232,Low
2,0,36231,Healthy
2,0,36224,Medium
2,0,36223,Medium
0,0,36220,Low
2,0,36207,Healthy
1,1,36207,Medium
2,0,36207,Medium
2,0,36207,Medium
2,0,36198,Healthy
2,0,36179,Medium
0,0,36171,Healthy
2,0,36165,Healthy
0,0,36165,Medium
2,0,36144,Low
0,0,36142,Low
0,0,36142,Low
0,0,36142,Low
1,1,36133,Healthy
1,1,36133,Healthy
1,1,36133,Healthy
1,1,36133,Healthy
0,0,36119,Low
2,0,36098,Medium
0,0,36098,Medium
0,0,36098,Healthy
0,0,36096,Medium
0,-1,36095,Medium
1,1,36073,Medium
0,0,36069,Low
0,0,36068,Healthy
0,0,36068,Medium
0,0,36066,Medium
2,0,36064,Medium
2,0,36062,Healthy
0,0,36060,Low
2,0,36059,Medium
2,0,36053,Healthy
2,0,36051,Medium
2,0,36046,Medium
0,0,36044,Healthy
1,1,36041,Medium
0,0,36012,Medium
0,0,36011,Healthy
2,0,36008,Medium
2,0,35999,Healthy
0,0,35985,Low
0,0,35985,Low
0,0,35985,Low
0,0,35981,Low
1,1,35967,Healthy
1,1,35967,Healthy
1,1,35967,Healthy
1,1,35967,Healthy
0,0,35953,Low
2,0,35944,Medium
2,0,35931,Healthy
2,0,35930,Medium
0,0,35929,Medium
2,0,35929,Medium
0,0,35911,Healthy
2,0,35909,Low
1,1,35909,Medium
2,0,35904,Medium
0,0,35899,Low
0,0,35899,Medium
2,0,35898,Healthy
2,0,35896,Medium
2,0,35894,Medium
0,0,35892,Healthy
2,0,35892,Medium
2,0,35882,Medium
1,1,35875,Medium
0,0,35875,Healthy
2,0,35852,Medium
2,0,35848,Healthy
2,0,35838,Medium
2,5,35835,Healthy
0,0,35822,Low
0,0,35822,Low
0,0,35822,Low
2,0,35814,Low
1,1,35801,Healthy
1,1,35801,Healthy
1,1,35801,Healthy
1,1,35801,Healthy
0,0,35799,Low
2,0,35784,Medium
0,0,35772,Medium
0,0,35770,Healthy
2,0,35766,Medium
2,0,35765,Medium
1,1,35749,Medium
2,0,35743,Low
0,0,35741,Medium
0,0,35739,Healthy
2,0,35738,Healthy
0,0,35733,Medium
2,0,35731,Medium
2,0,35730,Medium
0,0,35726,Low
0,0,35722,Medium
0,0,35720,Healthy
0,0,35719,Medium
2,5,35711,Healthy
2,5,35711,Medium
2,0,35691,Healthy
0,0,35689,Low
2,5,35669,Healthy
0,0,35660,Low
0,0,35659,Low
0,0,35659,Low
0,0,35659,Low
0,0,35654,Low
1,1,35635,Healthy
1,1,35635,Healthy
1,1,35635,Healthy
1,1,35635,Healthy
0,0,35630,Low
0,0,35627,Medium
0,0,35607,Healthy
2,0,35606,Medium
0,0,35600,Medium
1,1,35594,Medium
2,0,35593,Medium
2,0,35578,Low
2,0,35577,Low
0,0,35575,Medium
2,0,35569,Medium
2,0,35569,Healthy
2,0,35569,Healthy
0,0,35567,Medium
0,0,35567,Medium
0,0,35562,Medium
0,0,35556,Medium
2,0,35554,Healthy
2,5,35549,Medium
2,5,35549,Healthy
2,0,35524,Healthy
0,0,35517,Low
2,0,35509,Healthy
0,0,35499,Low
0,0,35499,Low
0,0,35499,Low
0,0,35493,Low
0,0,35488,Low
0,0,35464,Low
1,1,35463,Healthy
1,1,35463,Healthy
1,1,35463,Healthy
1,1,35463,Healthy
0,0,35461,Medium
2,0,35441,Healthy
1,1,35434,Medium
0,0,35433,Medium
2,0,35433,Medium
2,0,35422,Low
0,0,35421,Medium
0,0,35421,Medium
2,0,35409,Medium
2,0,35405,Healthy
0,0,35403,Healthy
2,0,35402,Low
2,0,35401,Medium
0,0,35401,Medium
0,0,35398,Medium
0,0,35393,Healthy
2,0,35390,Healthy
2,0,35390,Medium
2,0,35387,Medium
2,0,35361,Medium
0,0,35353,Low
2,0,35339,Healthy
0,0,35339,Low
0,0,35339,Low
0,0,35339,Low
0,0,35334,Low
0,0,35324,Low
0,0,35300,Low
1,1,35295,Healthy
1,1,35295,Healthy
1,1,35295,Healthy
1,1,35295,Healthy
0,0,35291,Medium
0,0,35281,Healthy
1,1,35277,Medium
2,0,35267,Medium
1,0,35264,Medium
0,0,35262,Low
0,0,35254,Medium
0,0,35252,Medium
2,0,35249,Healthy
2,0,35246,Medium
0,0,35240,Healthy
2,0,35235,Medium
0,0,35231,Medium
0,0,35230,Low
0,0,35228,Medium
2,0,35227,Healthy
2,0,35223,Medium
2,0,35223,Healthy
0,0,35218,Medium
0,0,35198,Medium
0,0,35187,Low
2,0,35176,Healthy
0,0,35175,Low
0,0,35175,Low
0,0,35175,Low
2,0,35171,Low
0,0,35161,Low
0,0,35140,Low
1,1,35129,Healthy
1,1,35129,Healthy
1,1,35129,Healthy
1,1,35129,Healthy
0,0,35125,Medium
0,0,35124,Healthy
1,1,35113,Medium
2,0,35104,Medium
1,1,35101,Medium
0,0,35090,Low
0,0,35088,Medium
2,0,35086,Healthy
0,0,35086,Medium
0,0,35083,Healthy
2,0,35083,Medium
2,0,35072,Medium
0,0,35068,Medium
2,0,35067,Medium
2,0,35064,Healthy
0,0,35057,Low
2,0,35054,Healthy
2,0,35054,Medium
0,0,35051,Medium
0,0,35035,Medium
2,0,35021,Low
2,0,35021,Low
2,0,35021,Low
0,0,35021,Low
2,0,35011,Low
2,0,35010,Healthy
0,0,34995,Low
0,0,34977,Low
0,0,34964,Healthy
1,1,34963,Healthy
1,1,34963,Healthy
1,1,34963,Healthy
1,1,34963,Healthy
1,1,34959,Medium
1,1,34955,Medium
1,1,34933,Medium
2,0,34931,Medium
2,0,34923,Low
0,0,34922,Medium
0,0,34922,Medium
0,0,34917,Healthy
2,0,34916,Medium
2,0,34914,Healthy
0,0,34912,Medium
0,0,34907,Medium
0,0,34896,Medium
2,0,34888,Healthy
0,0,34888,Healthy
2,0,34888,Medium
0,0,34888,Medium
0,0,34888,Low
0,0,34875,Medium
2,0,34861,Low
2,0,34861,Low
2,0,34861,Low
0,0,34861,Low
2,0,34848,Low
2,0,34840,Healthy
2,0,34828,Low
0,0,34814,Low
0,0,34804,Healthy
1,1,34795,Healthy
1,1,34795,Healthy
1,1,34795,Healthy
1,1,34795,Healthy
1,1,34795,Medium
1,1,34792,Medium
2,0,34768,Medium
1,1,34767,Medium
0,0,34763,Low
0,0,34762,Medium
0,0,34753,Medium
0,0,34752,Medium
2,0,34752,Medium
0,0,34751,Healthy
2,0,34750,Healthy
2,0,34745,Medium
0,0,34729,Medium
2,0,34723,Medium
2,0,34723,Healthy
