kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
0,0,72379,Healthy
2,0,72356,Medium
2,-1,72317,Healthy
2,-1,72317,Healthy
0,0,72309,Healthy
0,0,72302,Healthy
0,0,72283,Healthy
2,0,72213,Healthy
2,0,72184,Medium
2,0,72158,Healthy
2,0,72158,Healthy
0,0,72146,Healthy
0,0,72135,Healthy
0,0,72123,Healthy
2,0,72046,Healthy
2,0,72011,Medium
2,0,71997,Healthy
2,0,71997,Healthy
0,0,71980,Healthy
0,0,71963,Healthy
0,0,71956,Healthy
2,0,71886,Healthy
2,0,71848,Medium
2,0,71839,Healthy
2,0,71839,Healthy
0,0,71814,Healthy
0,0,71791,Healthy
0,0,71790,Healthy
2,0,71714,Healthy
2,0,71699,Healthy
2,0,71699,Healthy
2,0,71685,Medium
0,0,71648,Healthy
0,0,71627,Healthy
0,0,71621,Healthy
0,0,71547,Healthy
0,0,71547,Healthy
0,0,71541,Healthy
2,0,71515,Medium
0,0,71485,Healthy
1,1,71472,Healthy
0,0,71461,Healthy
0,0,71449,Healthy
2,0,71389,Healthy
2,0,71389,Healthy
0,0,71378,Healthy
2,0,71346,Medium
0,0,71322,Healthy
1,1,71304,Healthy
0,0,71298,Healthy
0,0,71283,Healthy
2,0,71221,Healthy
2,0,71221,Healthy
2,0,71209,Healthy
0,0,71205,Healthy
2,0,71180,Medium
0,0,71155,Healthy
2,0,71134,Healthy
1,1,71134,Healthy
0,0,71113,Healthy
2,0,71059,Healthy
2,0,71059,Healthy
0,0,71040,Healthy
2,0,71038,Healthy
2,0,71013,Medium
0,0,70989,Healthy
1,1,70970,Healthy
0,0,70968,Healthy
0,0,70947,Healthy
2,0,70905,Healthy
2,0,70905,Healthy
0,0,70873,Healthy
0,0,70872,Healthy
2,0,70853,Medium
0,0,70826,Healthy
1,1,70806,Healthy
0,0,70799,Healthy
0,0,70784,Healthy
0,0,70739,Healthy
0,0,70739,Healthy
0,0,70710,Healthy
0,0,70705,Healthy
2,0,70693,Medium
0,0,70663,Healthy
0,0,70639,Healthy
1,1,70635,Healthy
0,0,70618,Healthy
0,0,70575,Healthy
0,0,70575,Healthy
0,0,70542,Healthy
0,0,70541,Healthy
2,0,70520,Medium
0,0,70500,Healthy
2,0,70473,Healthy
3,2,70471,Healthy
0,0,70448,Healthy
0,0,70409,Healthy
0,0,70409,Healthy
2,0,70376,Healthy
2,0,70375,Healthy
2,0,70348,Medium
0,0,70336,Healthy
2,0,70309,Healthy
3,2,70307,Healthy
0,0,70282,Healthy
0,0,70246,Healthy
0,0,70246,Healthy
2,0,70211,Healthy
0,0,70203,Healthy
2,0,70182,Medium
0,0,70173,Healthy
2,0,70146,Healthy
3,3,70146,Healthy
0,0,70116,Healthy
0,0,70083,Healthy
0,0,70083,Healthy
2,0,70045,Healthy
0,0,70037,Healthy
2,0,70015,Medium
0,0,70010,Healthy
2,0,69983,Healthy
3,3,69983,Healthy
0,0,69944,Healthy
0,0,69920,Healthy
0,0,69920,Healthy
0,0,69879,Healthy
0,0,69874,Healthy
2,0,69849,Medium
0,0,69838,Healthy
2,0,69817,Healthy
3,3,69813,Healthy
2,0,69780,Healthy
0,0,69747,Healthy
0,0,69747,Healthy
0,0,69713,Healthy
0,0,69711,Healthy
2,0,69683,Medium
0,0,69665,Healthy
3,2,69655,Healthy
2,0,69644,Healthy
0,0,69623,Healthy
0,0,69578,Healthy
0,0,69578,Healthy
0,0,69545,Healthy
0,0,69543,Healthy
2,0,69522,Medium
0,0,69496,Healthy
2,0,69493,Healthy
3,3,69491,Healthy
0,-1,69435,Healthy
2,0,69418,Healthy
2,0,69418,Healthy
0,0,69389,Healthy
0,0,69384,Healthy
2,0,69362,Medium
3,3,69332,Healthy
0,0,69329,Healthy
0,0,69327,Healthy
0,0,69271,Healthy
0,0,69251,Healthy
0,0,69251,Healthy
0,0,69223,Healthy
0,0,69218,Healthy
2,0,69187,Medium
3,2,69170,Healthy
2,0,69166,Healthy
0,0,69154,Healthy
2,0,69108,Healthy
0,0,69085,Healthy
0,0,69085,Healthy
0,0,69060,Healthy
0,0,69052,Healthy
2,0,69011,Medium
2,0,69006,Healthy
2,0,69006,Healthy
0,0,68988,Healthy
