feature,importance
cat__datetime_combined_7/8/2020 3:25,0.0001877894012703431
cat__datetime_combined_6/8/2020 23:17,0.0001845374520646942
cat__datetime_combined_7/8/2020 19:41,0.00017939601322609867
cat__datetime_combined_7/8/2020 5:25,0.00017922092955413842
cat__datetime_combined_8/17/2020 2:33,0.0001784301434313215
cat__datetime_combined_8/24/2020 5:00,0.000178235403685119
cat__datetime_combined_7/7/2020 7:13,0.00017563669223664703
cat__datetime_combined_7/9/2020 17:26,0.0001716057920654906
cat__datetime_combined_7/5/2020 23:11,0.00016931031931665668
cat__datetime_combined_8/15/2020 22:35,0.0001673627207910569
cat__datetime_combined_8/17/2020 8:31,0.0001666597175050123
cat__datetime_combined_7/16/2020 0:56,0.00016558327036289734
cat__datetime_combined_7/7/2020 8:39,0.00016549839367650468
cat__datetime_combined_7/13/2020 1:39,0.00016259015543955213
cat__datetime_combined_8/25/2020 17:07,0.0001523009211250487
cat__datetime_combined_8/26/2020 22:55,0.00015120589021220968
cat__datetime_combined_7/9/2020 20:24,0.0001502479376170653
cat__datetime_combined_8/17/2020 3:54,0.00014749736020822483
cat__datetime_combined_7/9/2020 4:13,0.0001449721424914531
cat__datetime_combined_5/23/2020 20:52,0.00013798872894796286
cat__datetime_combined_7/15/2020 11:41,0.0001349862551249092
cat__datetime_combined_7/13/2020 8:50,0.00013379370276278126
cat__datetime_combined_8/26/2020 23:38,0.00013205507204240336
cat__datetime_combined_5/27/2020 18:36,0.00013133856325949273
cat__datetime_combined_7/5/2020 1:46,0.00012990581332816416
cat__datetime_combined_8/15/2020 21:55,0.0001284093522176975
cat__datetime_combined_7/15/2020 0:23,0.0001268484309582696
cat__datetime_combined_7/13/2020 15:03,0.00012421865619319984
cat__datetime_combined_5/31/2020 23:02,0.0001229913429933061
cat__datetime_combined_8/16/2020 8:48,0.00012297761487212283
cat__datetime_combined_7/26/2020 22:04,0.00012270512362068823
cat__datetime_combined_7/7/2020 4:16,0.0001224568467412506
cat__datetime_combined_8/25/2020 16:17,0.00012188926432133878
cat__datetime_combined_5/22/2020 16:44,0.00012113973949936353
cat__datetime_combined_7/16/2020 19:31,0.0001188470122238753
cat__datetime_combined_7/8/2020 6:43,0.00011864372393911479
