support,itemsets
0.5516,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.5516,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1512,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low'})"
0.2548,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium'})"
0.19,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_stream_BIN_High'})"
0.1876,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_stream_BIN_Low'})"
0.174,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'num_stream_BIN_Medium'})"
0.533,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.533,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2466,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.1822,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.1832,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.1676,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.5516,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1512,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2548,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.19,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.1876,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.174,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1512,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2548,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.19,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1876,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.174,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.251,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.251,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.1788,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.152,"frozenset({'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2126,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.251,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.2472,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.251,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.251,"frozenset({'cast_in_row_BIN_Medium', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3598,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.2682,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.2196,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3124,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.359,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3542,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'cast_in_row_BIN_Medium', 'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1638,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.2682,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Medium', 'swing_frequency, amount/minute_BIN_High'})"
0.2196,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3124,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.359,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.3542,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.1638,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.1742,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2672,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.268,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.2682,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.2682,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2682,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.215,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.219,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2178,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2196,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2196,"frozenset({'cast_in_row_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3116,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.3082,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.3124,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3124,"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.152,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.354,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.359,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.359,"frozenset({'cast_in_row_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.1636,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.3542,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3542,"frozenset({'cast_in_row_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1606,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'cast_in_row_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1638,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.1638,"frozenset({'cast_in_row_BIN_Medium', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.6878,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.4886,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2376,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.4306,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.5978,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.6878,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6744,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6878,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.6878,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1858,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High'})"
0.183,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low'})"
0.319,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.2314,"frozenset({'num_stream_BIN_High', 'steel_weight, tonn_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.2216,"frozenset({'num_stream_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2348,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.489,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'swing_frequency, amount/minute_BIN_High'})"
0.238,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.4306,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.5982,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.6882,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.6748,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6882,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.6882,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1858,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High'})"
0.183,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low'})"
0.3194,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.2314,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2218,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.235,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.1604,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.3272,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.4886,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.489,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.4884,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.489,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.489,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2464,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.171,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.1596,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.1584,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.1702,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.238,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.2366,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.238,"frozenset({'crystallizer_movement, mm_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.238,"frozenset({'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4264,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.4306,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.4198,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.4306,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.4306,"frozenset({'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.21,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.5982,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.5874,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.5982,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.5982,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.156,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.2986,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2038,"frozenset({'num_stream_BIN_High', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.195,"frozenset({'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.1994,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.6748,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6882,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.6882,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1858,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High'})"
0.183,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low'})"
0.3194,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.2314,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2218,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.235,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.6748,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.6748,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1822,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High'})"
0.179,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3136,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.227,"frozenset({'steel_weight, tonn_BIN_High', 'num_stream_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.2174,"frozenset({'num_stream_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2304,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.6882,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1858,"frozenset({'num_crystallizer_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.183,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3194,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2314,"frozenset({'num_stream_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2218,"frozenset({'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.235,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1858,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.183,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3194,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2314,"frozenset({'num_stream_BIN_High', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2218,"frozenset({'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.235,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.311,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.2452,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.202,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2838,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.3102,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.3002,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2452,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_Medium', 'swing_frequency, amount/minute_BIN_High'})"
0.202,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2838,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.3102,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.3002,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.1662,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2446,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
0.245,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.2452,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.2452,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2452,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.1972,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2014,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.193,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.202,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.202,"frozenset({'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
