support,itemsets
0.3002,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.9996,"frozenset({'resistance, tonn_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.7344,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.1696,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'swing_frequency, amount/minute_BIN_Medium'})"
0.3376,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.6334,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.8824,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.9988,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.9754,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.9996,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9996,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2656,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4618,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_crystallizer_BIN_Medium'})"
0.3368,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3284,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3344,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.7348,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.1696,"frozenset({'resistance, tonn_BIN_Low', 'swing_frequency, amount/minute_BIN_Medium'})"
0.338,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_High'})"
0.6334,"frozenset({'resistance, tonn_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.8828,"frozenset({'resistance, tonn_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.9992,"frozenset({'resistance, tonn_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.9758,"frozenset({'resistance, tonn_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
1.0,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
1.0,"frozenset({'resistance, tonn_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_High'})"
0.2656,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Low'})"
0.4622,"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium'})"
0.3368,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_High'})"
0.3286,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Low'})"
0.3346,"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Medium'})"
0.239,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.494,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.7338,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.7346,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.7342,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.7348,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.7348,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2014,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_High'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Low'})"
0.3614,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium'})"
0.2536,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High'})"
0.2448,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low'})"
0.2364,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Medium'})"
0.1696,"frozenset({'water_consumption, liter/minute_BIN_High', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'swing_frequency, amount/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2554,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.3378,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.3356,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.338,"frozenset({'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.338,"frozenset({'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1536,"frozenset({'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.6244,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.6328,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6136,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6334,"frozenset({'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1728,"frozenset({'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2998,"frozenset({'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2158,"frozenset({'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.2102,"frozenset({'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.882,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.8646,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.8828,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.8828,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.235,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.216,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low'})"
0.4318,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.301,"frozenset({'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.293,"frozenset({'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2888,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.9756,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.9992,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9992,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2716,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_High'})"
0.2656,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Low'})"
0.462,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium'})"
0.3362,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High'})"
0.3284,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low'})"
0.3346,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Medium'})"
0.9758,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9758,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2662,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2588,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4508,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3278,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3214,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3266,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
1.0,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.4622,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3286,"frozenset({'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2722,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4622,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3286,"frozenset({'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1988,"frozenset({'num_crystallizer_BIN_Medium', 'num_stream_BIN_Medium'})"
